repository_full_name,name,owner,url,visibility,archived,default_branch,clone_url
"askual/Awesome-List","Awesome-List","askual","https://github.com/askual/Awesome-List","public","false","master","https://github.com/askual/Awesome-List.git"
"ASSEMMERZOUG/Awesome-list","Awesome-list","ASSEMMERZOUG","https://github.com/ASSEMMERZOUG/Awesome-list","public","false","main","https://github.com/ASSEMMERZOUG/Awesome-list.git"
"aswathselvam/awesome-list","awesome-list","aswathselvam","https://github.com/aswathselvam/awesome-list","public","false","main","https://github.com/aswathselvam/awesome-list.git"
"atticus-v/awesome-list","awesome-list","atticus-v","https://github.com/atticus-v/awesome-list","public","false","gh-pages","https://github.com/atticus-v/awesome-list.git"
"av1v3k/awesome-list","awesome-list","av1v3k","https://github.com/av1v3k/awesome-list","public","false","master","https://github.com/av1v3k/awesome-list.git"
"avary/awesome-list","awesome-list","avary","https://github.com/avary/awesome-list","public","false","main","https://github.com/avary/awesome-list.git"
"awesomeWM/awesome","awesome","awesomeWM","https://github.com/awesomeWM/awesome","public","false","master","https://github.com/awesomeWM/awesome.git"
"AxolDad/Awesome-List","Awesome-List","AxolDad","https://github.com/AxolDad/Awesome-List","public","false","main","https://github.com/AxolDad/Awesome-List.git"
"axone-protocol/awesome","awesome","axone-protocol","https://github.com/axone-protocol/awesome","public","false","main","https://github.com/axone-protocol/awesome.git"
"bangumi-data/awesome","awesome","bangumi-data","https://github.com/bangumi-data/awesome","public","false","master","https://github.com/bangumi-data/awesome.git"
"barryw/awesome-list","awesome-list","barryw","https://github.com/barryw/awesome-list","public","false","master","https://github.com/barryw/awesome-list.git"
"bassamsdata/awesome-list","awesome-list","bassamsdata","https://github.com/bassamsdata/awesome-list","public","false","main","https://github.com/bassamsdata/awesome-list.git"
"bassim00/awesome-list","awesome-list","bassim00","https://github.com/bassim00/awesome-list","public","false","main","https://github.com/bassim00/awesome-list.git"
"Baymax-TT/awesome-list","awesome-list","Baymax-TT","https://github.com/Baymax-TT/awesome-list","public","false","master","https://github.com/Baymax-TT/awesome-list.git"
"beerandcodeteam/awesome-list","awesome-list","beerandcodeteam","https://github.com/beerandcodeteam/awesome-list","public","false","main","https://github.com/beerandcodeteam/awesome-list.git"
"BelligerentHorse8872/awesome-list","awesome-list","BelligerentHorse8872","https://github.com/BelligerentHorse8872/awesome-list","public","false","main","https://github.com/BelligerentHorse8872/awesome-list.git"
"BENNYCJ/awesome-list","awesome-list","BENNYCJ","https://github.com/BENNYCJ/awesome-list","public","false","main","https://github.com/BENNYCJ/awesome-list.git"
"Bernhardusus/awesome-list","awesome-list","Bernhardusus","https://github.com/Bernhardusus/awesome-list","public","false","main","https://github.com/Bernhardusus/awesome-list.git"
"BestJex/awesome-list","awesome-list","BestJex","https://github.com/BestJex/awesome-list","public","false","master","https://github.com/BestJex/awesome-list.git"
"better-auth/awesome","awesome","better-auth","https://github.com/better-auth/awesome","public","false","main","https://github.com/better-auth/awesome.git"
"Bhairav2009/awesome-list","awesome-list","Bhairav2009","https://github.com/Bhairav2009/awesome-list","public","false","main","https://github.com/Bhairav2009/awesome-list.git"
"bhanug/awesome-list","awesome-list","bhanug","https://github.com/bhanug/awesome-list","public","false","main","https://github.com/bhanug/awesome-list.git"
"BieTianShen2018/awesome-list","awesome-list","BieTianShen2018","https://github.com/BieTianShen2018/awesome-list","public","false","master","https://github.com/BieTianShen2018/awesome-list.git"
"bijaylimbu/awesome-list","awesome-list","bijaylimbu","https://github.com/bijaylimbu/awesome-list","public","false","main","https://github.com/bijaylimbu/awesome-list.git"
"bikramtuladhar/awesome-list","awesome-list","bikramtuladhar","https://github.com/bikramtuladhar/awesome-list","public","false","master","https://github.com/bikramtuladhar/awesome-list.git"
"binge-lab/awesome-list","awesome-list","binge-lab","https://github.com/binge-lab/awesome-list","public","false","main","https://github.com/binge-lab/awesome-list.git"
"Bishal-K-Shah/Awesome-List","Awesome-List","Bishal-K-Shah","https://github.com/Bishal-K-Shah/Awesome-List","public","false","main","https://github.com/Bishal-K-Shah/Awesome-List.git"
"BlackWalter990/awesome-list","awesome-list","BlackWalter990","https://github.com/BlackWalter990/awesome-list","public","false","main","https://github.com/BlackWalter990/awesome-list.git"
"blogwy/awesome-list","awesome-list","blogwy","https://github.com/blogwy/awesome-list","public","false","master","https://github.com/blogwy/awesome-list.git"
"Blondin5462/awesome-list","awesome-list","Blondin5462","https://github.com/Blondin5462/awesome-list","public","false","master","https://github.com/Blondin5462/awesome-list.git"
